,title,release_date,worldwide_box_office,international_box_office,domestic_box_office
202,Stolen Fairytales-2018-12-14,2018-12-14,"5197,00","5197,00",
203,Ãƒâ€¡at Kapi Ask-2017-12-29,2017-12-29,"36969,00","36969,00",
204,Skjelvet-2018-12-14,2018-12-14,"4052408,00","4046173,00","6235,00"
205,CaffÃƒÂ¨-2017-02-09,2017-02-09,"157683,00","157683,00",
206,Seethakaathi-2018-12-14,2018-12-14,"10103,00","10103,00",
207,Balloon-2017-12-29,2017-12-29,"2186353,00","2186353,00",
208,Barkley-2017-12-29,2017-12-29,"1926435,00","1926435,00",
209,Basmati Blues-2017-02-09,2017-02-09,"15651,00","15651,00",
210,ASYA-2017-12-29,2017-12-29,"2,00","2,00",
211,Anons-2017-12-29,2017-12-29,"24879,00","24879,00",
212,Aruvi-2017-12-29,2017-12-29,"863,00","863,00",
213,Dvizhenie Vverkh-2017-12-28,2017-12-28,"61925449,00","61925449,00",
214,Er Dai Yao Jing-2017-01-05,2017-01-05,"46154324,00","46154324,00",
215,1987: When the Day Comes-2017-12-18,2017-12-18,"51775357,00","51775357,00",
216,Qian Ren 3: Yan Zhi Da Zuo Zhan-2017-12-29,2017-12-29,"307547824,00","306710033,00","837791,00"
217,Revenge Girl-2017-12-23,2017-12-23,"1302754,00","1302754,00",
218,Phantom Thread-2017-12-25,2017-12-25,"47812199,00","26613994,00","21198205,00"
219,Berliner Philharmoniker: New Year's Eve Concert-2017-12-29,2017-12-29,"83045,00","83045,00",
220,Yao Mao Zhuan-2017-12-22,2017-12-22,"97033612,00","97033612,00",
221,All the Money in the World-2017-12-25,2017-12-25,"56890649,00","31784324,00","25106325,00"
222,Tri Bogatyrya i Printsessa Egipta-2017-12-22,2017-12-22,"14184772,00","14184772,00",
223,Tout lÃƒÂ -haut-2017-12-22,2017-12-22,"2354121,00","2354121,00",
224,Tiger Zinda Hai-2017-12-22,2017-12-22,"76520376,00","70959455,00","5560921,00"
225,Velaikkaran-2017-12-22,2017-12-22,"9886215,00","9886215,00",
226,The Second Time Around-2018-12-14,2018-12-14,,,"3837,00"
227,Paris Opera Ballet: Tribute To Jerome Robbins-2018-12-14,2018-12-14,"5259,00","5259,00",
228,Painted Skin: The Double Mask-2018-12-14,2018-12-14,"468683,00","468683,00",
229,Mochila de plomo-2018-12-14,2018-12-14,"4955,00","4955,00",
230,Yolki novye-2017-12-22,2017-12-22,"15738222,00","15738222,00",
231,The Mule-2018-12-14,2018-12-14,"173453994,00","69649587,00","103804407,00"
232,Odiyan-2018-12-14,2018-12-14,"79385,00","79385,00",
233,Miamor perdido-2018-12-14,2018-12-14,"1562666,00","1562666,00",
234,Met Opera: La Traviata-2018-12-14,2018-12-14,"410916,00","410916,00",
235,Ming wang xing shi ke-2018-12-14,2018-12-14,"83081,00","83081,00",
236,The Man Who Stole Banksy-2018-12-14,2018-12-14,"89674,00","89674,00",
237,Keepers of the Flame-2018-12-14,2018-12-14,"1361,00","1361,00",
238,Journal 64-2018-12-14,2018-12-14,"226791,00","226791,00",
239,Jesucristo Superstar. Un hito en la historia del musical espaÃƒÂ±ol-2018-12-14,2018-12-14,"10,00","10,00",
240,Johnny-2018-12-14,2018-12-14,"248,00","248,00",
241,Holding Hands-2018-12-14,2018-12-14,"5356,00","5356,00",
242,Haru Matsu Bokura-2018-12-14,2018-12-14,"1302229,00","1302229,00",
243,Impulso-2018-12-14,2018-12-14,"2580,00","2580,00",
244,eoleuni doimyeon-2018-12-14,2018-12-14,"27150,00","27150,00",
245,If Beale Street Could Talk-2018-12-14,2018-12-14,"21398371,00","6482598,00","14915773,00"
