year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2002;January 25th;The Mothman Prophecies;21209859,00;35228696,00;56438555,00
2002;January 25th;Shiqi sui de dan che;;157279,00;
2002;January 25th;The Son's Room;10700000,00;1014416,00;11714416,00
2002;January 25th;Kung Pow: Enter the Fist;1000000,00;16033556,00;17033556,00
2002;January 25th;Hey Happy!;;2241,00;
2002;January 19th;AntÃƒÂ³nio, Um Rapaz de Lisboa;351,00;n/a;351,00
2002;January 25th;The Count of Monte Cristo;21160986,00;54228104,00;75389090,00
2002;January 25th;Hometown Legend;;96429,00;
2002;January 18th;Time of Favor;;137340,00;
2002;January 18th;Snow Dogs;35747336,00;81150692,00;116898028,00
2002;January 18th;Italian for Beginners;;4447186,00;
2002;January 18th;State Property;;2099719,00;
2002;January 11th;What Time is it There?;;193047,00;
2002;January 16th;The Farewell;;10952,00;
2002;January 11th;Orange County;2248991,00;41059716,00;43308707,00
2002;January 4th;Impostor;1860370,00;6114237,00;7974607,00
2002;January 25th;American Adobo;;3094699,00;
2002;2002 (Wide);Wise Girls;;n/a;
2001;February 9th;New York in the Fifties;;17638,00;
2001;February 9th;Petite Cherie;;16276,00;
2001;February 9th;Love, Honour and Obey;;1143,00;
2002;January 11th;Steel Spirit;;1860,00;
2001;February 9th;N'sync: Bigger than Live;;1808679,00;
2001;February 9th;Hannibal;185008014,00;165092266,00;350100280,00
2001;February 9th;Journey to the Sun;;13544,00;
2001;February 9th;La chambre des magiciennes;;5788,00;
2001;February 2nd;Valentine;;20384136,00;
2001;February 2nd;A Perfect Son;;713,00;
2001;February 2nd;Nico and Dani;;370562,00;
2001;February 2nd;Merci Pour Le Chocolat;;443238,00;
2001;February 2nd;Le Libertin;;31300,00;
2001;February 2nd;Left Behind;;4221341,00;
2001;February 2nd;Head Over Heels;;10397365,00;
2001;February 2nd;The Invisible Circus;418619,00;77578,00;496197,00
2001;February 2nd;Fever;;4068,00;
2001;February 2nd;Une affaire de goÃƒÂ»t;;48602,00;
2001;January 26th;The Wedding Planner;34327673,00;60400856,00;94728529,00
2001;February 2nd;Beonjijeopeuleul Hada;49374,00;n/a;49374,00
2001;February 2nd;The Million Dollar Hotel;;52526,00;
2001;January 26th;R2PC: Road to Park City;;1216,00;
2001;February 2nd;Amy;6475545,00;7880,00;6483425,00
2004;January 2nd;Postmen in the Mountains;;203975,00;
2000;March 10th;Dragon and the Hawk;;3498,00;
2000;March 10th;God's Army;14789,00;2637726,00;2652515,00
2000;March 10th;Condo Painting;;5373,00;
2000;March 10th;Deterrence;227064,00;144583,00;371647,00
2000;March 3rd;What Planet Are You From?;;6291602,00;
2001;January 26th;Sugar and Spice;3603846,00;13276953,00;16880799,00
2000;March 3rd;Khauff;;81825,00;
2001;January 26th;Two Ninas;;10976,00;
2000;March 3rd;Homo Sapiens 1900;;1257,00;
2000;March 3rd;The Next Best Thing;9372190,00;14983572,00;24355762,00
2000;March 3rd;Drowning Mona;553184,00;15427192,00;15980376,00
2000;March 1st;The Little Thief;;37280,00;
2000;March 1st;3 Strikes;;9821335,00;
2000;February 25th;Reindeer Games;;23360779,00;
2000;March 3rd;Ghost Dog: The Way of the Samurai;7342262,00;3330230,00;10672492,00
2000;February 25th;Mifune;;585414,00;
2000;February 25th;Not of this World;;37871,00;
2000;February 25th;Judy Berlin;;467313,00;
2000;February 25th;Claire Dolan;;9480,00;
2000;February 24th;The Waiting Game;;19381,00;
2000;February 25th;Brown's Requiem;;3077,00;
2000;February 25th;The Closer You Get;;221898,00;
2000;February 18th;Yi Ge Dou Bu Neng Shao;;589114,00;
2000;February 23rd;Wonder Boys;14033031,00;19389454,00;33422485,00
2001;January 26th;Protection;;666,00;
2001;January 26th;Geboren in Absurdistan;;976,00;
2001;January 26th;The Legend of Rita;633388,00;666565,00;1299953,00
2001;January 26th;The Goddess of 1967;;12677,00;
2001;January 26th;Escanaba in Da Moonlight;;2276406,00;
2001;January 26th;Faithless;;734597,00;
2001;January 21st;Les RiviÃƒÂ¨res Pourpres;59500000,00;632548,00;60132548,00
2001;January 26th;15 fÃƒÂ©vrier 1839;;640790,00;
2001;January 19th;The Pledge;9686202,00;19719930,00;29406132,00
2001;January 19th;Kuch Kathi Kuch Meethi;;57188,00;
2001;January 19th;Nationale 7;;25076,00;
2001;January 12th;The Personals;;12646,00;
2001;January 12th;Pleure Pas Germaine;;9011,00;
2001;January 12th;Save the Last Dance;31206053,00;91038276,00;122244329,00
2001;January 26th;Forgive Me Father;;580462,00;
2001;January 12th;Life Without Death;;7811,00;
2001;January 12th;Luna Papa;;13930,00;
2001;January 19th;The Amati Girls;;47767,00;
2001;January 12th;Double Take;;29823162,00;
2000;February 18th;The Whole Nine Yards;28265375,00;57262492,00;85527867,00
2000;February 18th;Risk;60540,00;n/a;60540,00
2000;February 18th;Hey! Ram;;274675,00;
2000;February 18th;Pitch Black;13947000,00;39235088,00;53182088,00
2000;February 18th;Kirikou and the Sorceress;17671,00;61070,00;78741,00
2000;February 18th;Hanging Up;15829814,00;36037909,00;51867723,00
2001;January 12th;Extreme Force;;9549,00;
2000;February 18th;Beautiful People;;261360,00;
2000;February 11th;Snow Day;2444624,00;60008303,00;62452927,00
2000;February 11th;Trois;;1161843,00;
2000;February 16th;Kadosh;;736812,00;
2000;February 11th;The Tigger Movie;50605267,00;45542421,00;96147688,00
2000;February 11th;The Beach;;39778599,00;
2000;February 11th;Sex: The Annabel Chong Story;;233076,00;
2000;February 18th;Boiler Room;11809674,00;16963963,00;28773637,00
2000;February 4th;Pukar;;357422,00;
2000;February 4th;Poppoya;9558,00;n/a;9558,00
2000;February 4th;Scream 3;72700000,00;89138076,00;161838076,00
2000;February 4th;Gendernauts;;6002,00;
2000;February 4th;Knockout;;167085,00;
2000;January 28th;Stella Does Tricks;;2361,00;
2000;January 28th;Restaurant;;73613,00;
2000;February 4th;Gun Shy;;1638202,00;
2000;January 28th;Isn't She Great;;2954405,00;
2000;January 28th;Kestrel's Eye;;37200,00;
2000;January 28th;The Big Tease;;185577,00;
2000;January 28th;Eye of the Beholder;1760079,00;16500786,00;18260865,00
2000;January 28th;The Cup;;1067773,00;
2000;January 21st;Wirey Spindell;;9838,00;
2000;January 21st;The Quarry;;3350,00;
2000;January 21st;Phir Bhi Dil Hain Hindustani;;588606,00;
2000;January 21st;Placebo Effect;;1190,00;
2000;January 14th;The Terrorist;;195043,00;
2000;January 14th;Creature;;1108,00;
2000;January 21st;Down to You;;20035310,00;
2000;January 14th;Supernova;597626,00;14218868,00;14816494,00
2000;January 21st;The Boondock Saints;381403,00;30471,00;411874,00
2000;January 12th;Next Friday;2498725,00;57176582,00;59675307,00
2000;January 7th;Trans;;9623,00;
2000;January 7th;Mela;;220524,00;
2000;January 7th;Life is to Whistle;;63574,00;
2000;January 12th;My Dog Skip;1695679,00;34099640,00;35795319,00
2000;January 7th;Bulandi;;203548,00;
2000;January 12th;The Life and Times of Hank Greenberg;;1703901,00;
2021;January 1st;Doraemon Nobita no TaiyÃ…ï¿½Ã…ï¿½ Densetsu;;n/a;
2021;June 25th;Andra Sidan;1189433,00;1010,00;1190443,00
2021;January 7th;Unforgettable Times;850000,00;n/a;850000,00
2021;January 7th;The Xrossing;27570,00;n/a;27570,00
2021;January 8th;2019 Shanghai Film Museum Eric Houma Film Show;160000,00;n/a;160000,00
2021;January 8th;Absent Now the Dead;;n/a;
2021;January 7th;Raibu supekutakuru Naruto: Akatsuki no shirabe;11613,00;n/a;11613,00
2021;January 7th;Tagundnachtgleiche;;n/a;
2021;January 7th;Chaddr Ã¢â‚¬â€ Unter uns der Fluss;;n/a;
2021;January 7th;Maya the Bee 3: The Golden Orb;1230292,00;n/a;1230292,00
2021;May 8th;Krack;90619,00;n/a;90619,00
2021;January 6th;Cheonsaneun baireoseu;3798,00;n/a;3798,00
2021;January 6th;Woman Without a Man;750000,00;n/a;750000,00
2021;April 1st;Yuvarathnaa;16287,00;n/a;16287,00
2021;December 28th;La Traviata: Gran Teatre Del Liceu;3756,00;n/a;3756,00
2021;May 13th;Ivany, pomnyashchie rodstvo;32595,00;n/a;32595,00
2021;May 7th;Above Suspicion;3684,00;n/a;3684,00
2021;May 13th;Greenfield;3639,00;n/a;3639,00
2019;January 1st;Eonni;1558387,00;n/a;1558387,00
2019;January 4th;NTR: Kathanayakudu;78419,00;n/a;78419,00
2019;January 18th;Mujeres, de Coque Malla;2806,00;n/a;2806,00
2019;January 11th;Viswasam;253545,00;n/a;253545,00
2019;January 18th;Mikhael;8872,00;n/a;8872,00
2019;January 18th;Os Dois IrmÃƒÂ£os;789,00;n/a;789,00
2019;February 1st;The St. Bernard Syndicate;;n/a;
2019;February 8th;Ladrillos Capitales;514,00;n/a;514,00
2019;February 15th;Snowing Indicates Harvest;29343,00;n/a;29343,00
2019;January 25th;JÃƒÂ»ni-nin no shinitai kodomo-tachi;11950916,00;n/a;11950916,00
2019;January 17th;Feedback;4156030,00;n/a;4156030,00
2019;March 8th;Kapan;61145,00;n/a;61145,00
2019;December 13th;The Death and Life of John F. Donovan;3157609,00;n/a;3157609,00
2019;March 21st;The Russian Five;;n/a;
2019;March 29th;American Relapse;;n/a;
2019;April 11th;Miseongnyeon;2095496,00;n/a;2095496,00
2019;April 12th;Missing Link;8740663,00;16649539,00;25390202,00
2019;April 19th;Once Upon a Time in London;1568,00;n/a;1568,00
2019;April 12th;Nan Shen Xun Lian Ying;2610000,00;n/a;2610000,00
2019;May 7th;Neighbor;221774,00;n/a;221774,00
2019;February 22nd;Sibel;414174,00;n/a;414174,00
2019;May 3rd;Long Shot;23308153,00;30316271,00;53624424,00
2019;May 10th;Final Ascent: The Legend Of Hamish MacInnes;24672,00;n/a;24672,00
2019;May 24th;Elisa y Marcela;54936,00;n/a;54936,00
2019;June 6th;Project Ithaca;;n/a;
2019;May 17th;Fatal Nightmare;128296,00;n/a;128296,00
2019;June 21st;Surprise Me;;n/a;
2019;June 7th;Virus;27988,00;n/a;27988,00
2019;June 18th;Ghost Light;;n/a;
2019;May 29th;Leaving Home, Coming Home: A Portrait of Robert Frank;;27073,00;
2019;July 10th;Gibangdoryeong;1920758,00;n/a;1920758,00
2019;July 4th;Blank 13;34638,00;n/a;34638,00
2019;July 26th;Honeyland;438087,00;815082,00;1253169,00
2019;August 16th;Evaru;53040,00;n/a;53040,00
2019;August 28th;Yooyeoleui Umakaelbeom;8476467,00;n/a;8476467,00
2019;July 31st;Jay Myself;;151331,00;
2019;September 27th;Lupo;675,00;n/a;675,00
2019;August 9th;The Art of Racing in the Rain;4594209,00;26402818,00;30997027,00
2019;October 25th;Bulmaca Kulesi;575199,00;n/a;575199,00
2019;September 27th;Tomorrow;18331,00;n/a;18331,00
2019;October 18th;#Female Pleasure;;n/a;
2019;November 8th;Engagement;21179,00;n/a;21179,00
2019;December 30th;Heng Cai Ju Zhong Ju;670573,00;n/a;670573,00
2019;January 3rd;The Grudge;28287117,00;21216148,00;49503265,00
2019;November 22nd;Pat a Mat: KutilskÃƒÂ© Trampoty;987105,00;n/a;987105,00
2019;December 30th;Conquering the demons of master;2033,00;n/a;2033,00
2019;December 13th;Elma Dersem Ãƒâ€¡Ã„Â±k;4638,00;n/a;4638,00
2019;December 29th;Isole DÃ¢â‚¬â„¢Istanti;;n/a;
2019;December 27th;Ã…Å¾uursuz AÃ…Å¸k;240857,00;n/a;240857,00
2019;December 27th;Te Jing Dui;8230634,00;n/a;8230634,00
2019;December 27th;La sainte famille;114025,00;n/a;114025,00
2019;December 27th;Sanctuary Population One;3459,00;n/a;3459,00
2019;December 27th;Rendez-vous chez les Malawas;5247206,00;n/a;5247206,00
2019;December 27th;Pan T.;202432,00;n/a;202432,00
2019;December 27th;MÃ…Â¯j pÃ…â„¢ÃƒÂ­bÃ„â€ºh;353118,00;n/a;353118,00
2019;December 27th;Rafadan Tayfa GÃƒÂ¶beklitepe;9794501,00;n/a;9794501,00
2019;December 27th;Minha MÃƒÂ£e ÃƒÂ© uma PeÃƒÂ§a 3: O Filme;39273020,00;n/a;39273020,00
2019;December 27th;Merry Men 2;3273,00;n/a;3273,00
2019;December 27th;Mathu Vadalara;2054,00;n/a;2054,00
2019;December 27th;Otoko wa tsurai yo 50: Okaeri Tora-san;9459306,00;n/a;9459306,00
2019;December 27th;Maker Brother;12079,00;n/a;12079,00
2019;December 27th;The Mall, The Merrier;3334,00;n/a;3334,00
2019;January 20th;Jie Fang Le;6032960,00;n/a;6032960,00
2019;December 27th;Ma Ma, Wo Xiang Ni;147448,00;n/a;147448,00
2019;December 27th;Iddari Lokam Okate;541,00;n/a;541,00
2019;December 27th;El Hubiera SÃƒÂ­ Existe;2146767,00;n/a;2146767,00
2019;December 27th;Gu Yao Mi Zong;132584,00;n/a;132584,00
2019;December 27th;Good Newwz;11653583,00;n/a;11653583,00
2019;December 27th;Futro z misia;2307200,00;n/a;2307200,00
2019;January 24th;The Gentlemen;77404808,00;36471796,00;113876604,00
2019;December 27th;Clemency;236,00;364716,00;364952,00
2019;December 27th;Great Bear Rainforest;123752,00;n/a;123752,00
2019;December 27th;Blue Pleated Skirt;10000,00;n/a;10000,00
2019;December 27th;Aslan ParÃƒÂ§am;6722,00;n/a;6722,00
2019;December 27th;Apparition;174743,00;n/a;174743,00
2019;December 26th;Soyuz spaseniya;11401318,00;n/a;11401318,00
2019;December 27th;5Gang: Un altfel de CrÃ„Æ’ciun;1490925,00;n/a;1490925,00
2019;December 26th;Kholop;50590362,00;n/a;50590362,00
2019;December 26th;Cheonmun: Modneunda, Doors to Heaven;13955219,00;n/a;13955219,00
2019;December 25th;What She Said: The Art of Pauline Kael;;n/a;
2019;December 25th;Merci pour tout;;1070470,00;
2019;December 25th;Spies in Disguise;98381468,00;66757013,00;165138481,00
2019;January 5th;Ivan Tsarevich i Seryy Volk 4;7217185,00;n/a;7217185,00
2019;December 25th;Ice Breaking;320000,00;n/a;320000,00
2019;December 24th;Ellipse;818,00;n/a;818,00
2019;December 25th;1917;211375735,00;159227644,00;370603379,00
2019;January 3rd;Chong Ai;99550121,00;n/a;99550121,00
2019;December 21st;Mult v. Kino Vypusk No. 109;40284,00;n/a;40284,00
2019;December 21st;Fiksiki Protiv Krabotov;6349493,00;n/a;6349493,00
2019;December 25th;Little Women;110799479,00;108095955,00;218895434,00
2019;December 20th;Vic the Viking and the Magic Sword;2750123,00;n/a;2750123,00
2019;December 20th;Snekker Andersen og den vesle bygda som glÃƒÂ¸mte at det var jul;61774,00;n/a;61774,00
2019;December 20th;Your Excellency;4079,00;n/a;4079,00
2019;December 25th;Just Mercy;14400000,00;36001502,00;50401502,00
2019;December 20th;Sense sostre;16714,00;n/a;16714,00
2019;December 20th;Thambi;47706,00;n/a;47706,00
2019;December 20th;SheÃ¢â‚¬â„¢s Missing;;n/a;
2019;December 20th;Prati Roju Pandaage;66758,00;n/a;66758,00
2019;December 20th;Ruler;7143,00;n/a;7143,00
2019;December 20th;Notre Dame;1708729,00;n/a;1708729,00
2019;December 20th;Nachtwacht: Het Duistere Hart;112675,00;n/a;112675,00
2019;December 20th;Lost Holiday;;n/a;
2019;December 20th;Kirk Yalan;440747,00;n/a;440747,00
2019;December 20th;Kamen raidÃƒÂ¢ Reiwa Za FÃƒÂ¢suto JenerÃƒÂªshon;7529337,00;n/a;7529337,00
2019;December 20th;Lejos de PekÃƒÂ­n;1969,00;n/a;1969,00
2019;December 20th;Kader Postasi;888,00;n/a;888,00
2019;August 13th;Ema;317874,00;53437,00;371311,00
2019;December 20th;Hero;68427,00;n/a;68427,00
2019;December 20th;The First People's City Found by the Chinese Communist Party;580000,00;n/a;580000,00
2019;December 20th;Elfland;44599,00;n/a;44599,00
2019;December 20th;Doblemente Embarazada;962250,00;n/a;962250,00
2019;December 20th;DonÃ¢â‚¬â„¢t Be a D*ck About It;;n/a;
2019;March 3rd;The Dare;271478,00;n/a;271478,00
2019;December 20th;Dabangg 3;13020007,00;535000,00;13555007,00
2019;December 20th;Chatter;4738,00;n/a;4738,00
2019;December 20th;La botera;1070,00;n/a;1070,00
2019;December 20th;Beyaz HÃƒÂ¼zÃƒÂ¼n;105594,00;n/a;105594,00
2019;December 20th;Da Dao Li;300000,00;n/a;300000,00
2019;February 26th;Boku no HÃ„Â«rÃ…ï¿½ Akademia The Movie HÃ„Â«rÃ…ï¿½zu: Raijingu;16464262,00;13553826,00;30018088,00
2019;December 25th;Pinocchio;24163937,00;1831718,00;25995655,00
2019;December 19th;Nebo izmeryaetsya milyami;5752,00;n/a;5752,00
2019;December 20th;April. May en June;5736612,00;n/a;5736612,00
2019;December 19th;Haneuldoggaebi Dae Yoreumungandeu;5758775,00;n/a;5758775,00
2019;December 19th;Do Novogo Goda ostalos...;6450,00;n/a;6450,00
2019;December 19th;La dea fortuna;9796772,00;n/a;9796772,00
2019;December 20th;Zhi You Yun Zhi Dao;23417137,00;n/a;23417137,00
2019;December 20th;Baekdusan;59132947,00;372562,00;59505509,00
2019;December 18th;Sidong;22940076,00;n/a;22940076,00
2019;December 20th;Cats;48319581,00;27166770,00;75486351,00
2019;December 20th;Star Wars: The Rise of Skywalker;557645945,00;515202542,00;1072848487,00
2019;December 17th;Ban Ge Xi Ju;27410000,00;n/a;27410000,00
2019;December 16th;Loophole;827,00;n/a;827,00
2019;December 17th;Tintoretto. Il primo regista;17969,00;n/a;17969,00
2019;February 5th;Escher: Het Oneindige Zoeken;64962,00;n/a;64962,00
2019;December 16th;Jurassic Predator;878,00;n/a;878,00
2019;December 13th;Venky Mama;77721,00;n/a;77721,00
2019;December 13th;Uncut Gems;;50023780,00;
2019;December 14th;AprÃƒÂ³ mesÃƒÂ©k;27872,00;n/a;27872,00
2019;December 13th;Tierra arrasada;14329,00;n/a;14329,00
2019;December 13th;Spiral Farm;;6517,00;
2019;December 13th;Shijinso no Satsujin;8934857,00;n/a;8934857,00
2019;December 13th;SesiÃƒÂ³n Salvaje;2063,00;n/a;2063,00
2019;December 13th;Royal Opera House: The Nutcracker;796099,00;n/a;796099,00
2019;December 13th;Roads;1109,00;n/a;1109,00
2019;December 13th;Romeo And Juliet: Beyond Words;54072,00;n/a;54072,00
2019;December 13th;La Sabiduria;3165,00;n/a;3165,00
2019;December 13th;The Rememberer;5656,00;n/a;5656,00
2019;December 13th;Opera De Paris: Les Indes Galantes;3976,00;n/a;3976,00
2019;December 13th;Richard Jewell;20755028,00;22345542,00;43100570,00
2019;December 13th;Moira;3659,00;n/a;3659,00
2019;December 13th;Rabid;;n/a;
2019;December 13th;Mob Town;;n/a;
2019;December 13th;Maternal;16686,00;n/a;16686,00
2019;December 13th;Mees Kees In De Wolken;2594391,00;n/a;2594391,00
2019;December 13th;The Pollinators;840,00;n/a;840,00
2019;December 13th;Mamangam;48220,00;n/a;48220,00
2019;December 13th;Lola vers la mer;80950,00;n/a;80950,00
2019;December 13th;Line of Descent;;n/a;
2019;December 13th;Magic Mirror 3;460000,00;n/a;460000,00
2019;December 13th;The Light;1343,00;n/a;1343,00
2019;December 13th;Der kleine Rabe Socke - Suche nach dem verlorenen Schatz;1808022,00;n/a;1808022,00
2019;December 13th;Kitty Party;7558,00;n/a;7558,00
2019;December 13th;Jesucristo vive;17029,00;n/a;17029,00
2019;December 13th;Huisvrouwen Bestaan Niet 2;1949058,00;n/a;1949058,00
2019;December 13th;Mardaani 2;5854240,00;n/a;5854240,00
2019;December 13th;Hell on the Border;;n/a;
2019;December 13th;Judeska - Van Je Familie Moet Je Het Hebbe;183379,00;n/a;183379,00
2019;December 13th;A Hidden Life;2560221,00;1730597,00;4290818,00
2019;December 13th;Groundhog Dave;18489,00;n/a;18489,00
2019;December 13th;GÃƒÂ¼zelliÃ„Å¸in Portresi;346003,00;n/a;346003,00
2019;December 13th;The Great War;;n/a;
2019;December 13th;Ernesto's Manifesto;;n/a;
2019;December 16th;Gorillaz: Reject False Icons;31667,00;n/a;31667,00
2019;December 13th;GÃƒÂ¼zel AÃ…Å¸k;52,00;n/a;52,00
2019;December 13th;Eroski ParaÃƒÂ­so;12595,00;n/a;12595,00
2019;December 13th;Eiga YÃ…ï¿½kai Wotchi Jamu: YÃ…ï¿½kai Gakuen Y - Neko wa HÃ„Â«rÃ…ï¿½ ni Nareruka;6154894,00;n/a;6154894,00
2019;December 13th;Les envoÃƒÂ»tÃƒÂ©s;116900,00;n/a;116900,00
2019;December 13th;Docteur?;6294884,00;n/a;6294884,00
2019;December 13th;CoraÃƒÂ§ÃƒÂ£o Negro;786,00;n/a;786,00
2019;December 13th;Cunningham;102858,00;265102,00;367960,00
2019;December 13th;Colewell;;n/a;
2019;December 13th;Code 8;6964,00;n/a;6964,00
2019;December 13th;Chinese Portrait;;4140,00;
2019;December 13th;Danmarks sÃƒÂ¸nner;2584,00;n/a;2584,00
2019;December 13th;Bombshell;29641586,00;31762808,00;61404394,00
2019;December 13th;Black Christmas;8099059,00;10429730,00;18528789,00
2019;December 13th;The Body;31825,00;n/a;31825,00
2019;December 13th;The Bikes of Wrath;13696,00;n/a;13696,00
2019;December 13th;Bei Guang Zhua Zou De Ren;10102949,00;n/a;10102949,00
2019;December 12th;Wolseong;31530,00;n/a;31530,00
2019;February 12th;Tian Huo Wei Qing;24823298,00;1105,00;24824403,00
2019;December 12th;Il Primo Natale;17067335,00;n/a;17067335,00
2019;December 12th;Sokmuldeul;11338,00;n/a;11338,00
2019;December 12th;Paw Patrol 8;134930,00;n/a;134930,00
2019;December 12th;Koirat eivÃƒÂ¤t kÃƒÂ¤ytÃƒÂ¤ housuja;19855,00;n/a;19855,00
2019;December 12th;Happy Ending;10489,00;n/a;10489,00
2019;December 12th;Born2Drive;5989,00;n/a;5989,00
2019;December 11th;The Lost Footage of Leah Sullivan;;n/a;
2019;December 11th;Light Side: A Journey with David Prowse;;n/a;
2019;December 9th;Safe Spaces;;n/a;
2019;December 11th;Anaeleul Jukyeissda;535952,00;n/a;535952,00
2019;December 9th;The Control Group;878,00;n/a;878,00
2019;December 10th;Back to Youth;2650000,00;n/a;2650000,00
2019;December 10th;American Hunt;22614,00;n/a;22614,00
2019;December 6th;The Wolf Hour;1258,00;n/a;1258,00
2019;December 7th;Mult v. Kino Vypusk No. 108;;n/a;
2019;December 6th;ZakletÃƒÂ© pÃƒÂ­rko;496769,00;n/a;496769,00
2019;December 6th;Tu Mera Ki Lagda;1128,00;n/a;1128,00
2019;December 6th;Warriors of Honor;36090000,00;n/a;36090000,00
2019;December 6th;Trauma Center;17306,00;n/a;17306,00
2019;December 6th;Le voyage du prince;460674,00;n/a;460674,00
2019;December 6th;Ã…Â Ã…Â¥astnÃƒÂ½ novÃƒÂ½ rok;3791808,00;n/a;3791808,00
2019;December 6th;Timebox;676,00;n/a;676,00
2019;December 6th;Solid Gold;26061,00;n/a;26061,00
2019;December 6th;Tempo Comum;897,00;n/a;897,00
2019;December 6th;Ã…Â pindl 2;746565,00;n/a;746565,00
2019;December 6th;La Scala: Tosca;39540,00;n/a;39540,00
2019;December 6th;Roberto Carlos em JerusalÃƒÂ©m;257814,00;n/a;257814,00
2019;December 6th;Royal Opera House: Coppelia;784354,00;n/a;784354,00
2019;October 29th;Seules les bÃƒÂªtes;930492,00;9138,00;939630,00
2019;December 6th;Returning of Red Flag Canal;130000,00;n/a;130000,00
2019;December 6th;Project Gio;901250,00;n/a;901250,00
2019;December 6th;Rising Free;;n/a;
2019;December 6th;Pati Patni Aur Woh;5392337,00;n/a;5392337,00
2019;December 6th;Les Perseides;3189,00;n/a;3189,00
2019;December 6th;RaÃƒÂºl, la democracia desde adentro;7343,00;n/a;7343,00
2019;December 6th;Partenonas;2442,00;n/a;2442,00
2019;December 6th;El patalarga;3918,00;n/a;3918,00
2019;December 6th;No Safe Spaces;;1291514,00;
2019;March 6th;Nan Fang Che Zhan De Ju Hui;31074968,00;12573,00;31087541,00
2019;December 6th;Most Likely to Succeed;;n/a;
2019;February 14th;Ordinary Love;376138,00;323688,00;699826,00
2019;December 6th;Mucize 2: Ask;6521465,00;n/a;6521465,00
2019;December 6th;Mi Ju Fu Xiang;86919,00;n/a;86919,00
2019;December 6th;Midnight Family;34895,00;42310,00;77205,00
2019;December 6th;Le meilleur reste ÃƒÂ  venir;7697161,00;n/a;7697161,00
2019;October 18th;Lupin III: The First;7297356,00;248422,00;7545778,00
2019;December 6th;A New Christmas;;n/a;
2019;December 6th;Longa noite;23893,00;n/a;23893,00
2019;December 6th;Legado en los Huesos;1987408,00;n/a;1987408,00
2019;December 6th;The Last Right;169114,00;n/a;169114,00
2019;December 6th;Koko: A Red Dog Story;30937,00;n/a;30937,00
2019;December 6th;Korporacija;1561,00;n/a;1561,00
2019;December 6th;The Kindness of Strangers;147815,00;n/a;147815,00
2019;December 6th;Machine;21088,00;n/a;21088,00
2019;December 6th;Kairos;2101,00;n/a;2101,00
2019;December 6th;Knives and Skin;;n/a;
2019;December 6th;Ides? Idem!;7033,00;n/a;7033,00
2019;December 6th;Hold On;;n/a;
2019;March 13th;Human Nature;347,00;5487,00;5834,00
2019;December 6th;Helen;629,00;n/a;629,00
2019;December 6th;Grand Isle;5444,00;n/a;5444,00
2019;December 6th;Fanxiao;1692572,00;n/a;1692572,00
2019;December 6th;En Brazos de un Asesino;;425332,00;
2019;December 6th;Dark Light;119522,00;n/a;119522,00
2019;December 6th;Dian Qi Jiao Jian Shuo Ai Ni;51799,00;n/a;51799,00
2019;December 6th;Curse of the Nun;19797,00;n/a;19797,00
2019;December 6th;Gozen 0-ji, Kiss shi ni Kite yo;9823872,00;n/a;9823872,00
2019;December 6th;Chui Shao Ren;8568978,00;150481,00;8719459,00
2019;December 6th;Ciegos;1416,00;n/a;1416,00
2019;December 6th;Choir Girl;462,00;n/a;462,00
2019;December 6th;Las buenas intenciones;10837,00;n/a;10837,00
2019;December 6th;Beyond the Law;;n/a;
2019;December 6th;Anastasia;;n/a;
2019;December 6th;21 Miles;;n/a;
2019;December 6th;The Islands;;n/a;
2019;December 5th;Wu Sha;199276793,00;n/a;199276793,00
2019;December 6th;2 Gisht MjaltÃƒÂ«;;n/a;
2019;December 5th;Spring Interlude;800,00;n/a;800,00
2019;December 5th;Unbreakable;34696,00;n/a;34696,00
2019;December 5th;Rzhev;1428864,00;n/a;1428864,00
2019;December 5th;Reshala: Nulevye;272938,00;n/a;272938,00
2019;December 6th;Bayala - A Magical Adventure;711223,00;n/a;711223,00
2019;December 5th;The Return of Dark Assault;74775,00;n/a;74775,00
2019;December 5th;Prostoy karandash;9760,00;n/a;9760,00
2019;December 5th;Legally Declared Dead;983086,00;n/a;983086,00
2019;December 5th;It Must Be Heaven;2199547,00;n/a;2199547,00
2019;December 5th;Itaewon;17715,00;n/a;17715,00
2019;December 5th;Empty Metal;;n/a;
2019;December 5th;Askeladden - I Soria Moria slott;94993,00;n/a;94993,00
2019;December 5th;L'immortale;6667823,00;n/a;6667823,00
2019;December 13th;Jumanji: The Next Level;481501654,00;316831246,00;798332900,00
2019;December 4th;Neoeui Yeojachingu;24987,00;n/a;24987,00
2019;December 4th;Kamjjokgateun Geunyeo;3099884,00;n/a;3099884,00
2019;December 1st;Compton's Finest;;n/a;
2019;December 4th;Ajik Saranghago Issseubnikka;7939,00;n/a;7939,00
2019;December 1st;After She Wakes;;n/a;
2019;November 29th;Yi Sheng You Ni;5932063,00;n/a;5932063,00
2019;December 25th;Yip Man 4;188661860,00;3956031,00;192617891,00
2019;November 29th;Ze noemen me Baboe;48062,00;n/a;48062,00
2019;November 29th;Ximei;;n/a;
2019;November 29th;Voda Ã„ï¿½o ma drÃ…Â¾ÃƒÂ­ nad vodou;8153,00;n/a;8153,00
2019;November 29th;Zavera;1671,00;n/a;1671,00
2019;November 29th;Valhalla;192983,00;n/a;192983,00
