year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2018;December 14th;Met Opera: La Traviata;410916,00;n/a;410916,00
2018;December 14th;Ming wang xing shi ke;83081,00;n/a;83081,00
2018;December 14th;The Man Who Stole Banksy;89674,00;n/a;89674,00
2018;December 14th;Keepers of the Flame;1361,00;n/a;1361,00
2018;December 14th;Journal 64;226791,00;n/a;226791,00
2018;December 14th;Jesucristo Superstar. Un hito en la historia del musical espaÃƒÂ±ol;10,00;n/a;10,00
2018;December 14th;Johnny;248,00;n/a;248,00
2018;December 14th;Holding Hands;5356,00;n/a;5356,00
2018;December 14th;Haru Matsu Bokura;1302229,00;n/a;1302229,00
2018;December 14th;Impulso;2580,00;n/a;2580,00
2018;December 14th;eoleuni doimyeon;27150,00;n/a;27150,00
2018;December 14th;If Beale Street Could Talk;6482598,00;14915773,00;21398371,00
2018;December 14th;Den' Pobedy;2324,00;n/a;2324,00
2018;January 16th;Dragon Ball Super: Broly;92371000,00;30376755,00;122747755,00
2018;December 14th;The First Time;62950,00;n/a;62950,00
2018;December 14th;Conversazioni Atomiche;2116,00;n/a;2116,00
2018;March 8th;Da xiang xi di er zuo;14702,00;n/a;14702,00
2017;December 22nd;Spindl;2277204,00;n/a;2277204,00
2017;December 22nd;Sakka Podu Podu Raja;1944,00;n/a;1944,00
2017;December 22nd;Romans;2741,00;n/a;2741,00
2018;December 14th;Chun Tian De Ma La Song;1371255,00;n/a;1371255,00
2017;December 22nd;Rangreza;56979,00;n/a;56979,00
2017;December 22nd;Seven Fright Nights;94532,00;n/a;94532,00
2017;December 22nd;La promesse de l'aube;9181824,00;n/a;9181824,00
2017;December 22nd;Muumien joulu;515414,00;n/a;515414,00
2017;December 22nd;The Post;97865999,00;81903458,00;179769457,00
2017;December 22nd;QuizÃƒÂ¡s hoy;282,00;n/a;282,00
2017;December 22nd;Mult v Kino: Vypusk No. 65;56677,00;n/a;56677,00
2017;December 22nd;Miseinen dakedo kodomo janai;5146046,00;n/a;5146046,00
2017;December 25th;MollyÃ¢â‚¬â„¢s Game;24515680,00;28780744,00;53296424,00
2017;December 22nd;Lesa Humanitat;2216,00;n/a;2216,00
2017;December 22nd;MartÃ„Â±larÃ„Â±n Efendisi;199953,00;n/a;199953,00
2017;December 22nd;Hotel Infierno;3784,00;n/a;3784,00
2017;December 22nd;Huisvrouwen Bestaan Niet;3239032,00;n/a;3239032,00
2017;December 22nd;Jing hun qi you;114402,00;n/a;114402,00
2017;December 22nd;Hostiles;7157222,00;29819114,00;36976336,00
2017;December 22nd;Hello;4394131,00;n/a;4394131,00
2017;December 22nd;Gordon & Paddy;96264,00;n/a;96264,00
2017;December 22nd;Garde alternÃƒÂ©e;3907930,00;n/a;3907930,00
2017;December 22nd;DÃƒÂ¼s Kirginlari;2510,00;n/a;2510,00
2018;December 14th;The CBeebies Christmas Show: Thumbelina;274407,00;n/a;274407,00
2017;December 22nd;Father Figures;3537197,00;17501244,00;21038441,00
2018;December 14th;Bon Bini Holland 2;8664726,00;n/a;8664726,00
2018;December 14th;Beyond White Space;;n/a;
2018;December 14th;Bana Bir Soygun Yaz 2;182040,00;n/a;182040,00
2018;December 14th;Bhajjo Veero Ve;103289,00;n/a;103289,00
